Date,NVDA,NASDAQ
05/06/24,0.011847098,0.000860277
04/06/24,-0.05027076,-0.019436681
03/06/24,-0.012418226,-0.001684987
31/05/24,-0.047793704,-0.00558045
30/05/24,0.007877097,0.000123088
29/05/24,0.038393709,0.010904015
28/05/24,-0.00807958,0.00585144
24/05/24,-0.067475787,-0.005839029
23/05/24,-0.025397526,-0.010979163
22/05/24,-0.0891059,0.003906668
21/05/24,0.00458138,0.001848122
20/05/24,-0.006373401,-0.002245188
17/05/24,-0.024576825,-0.006505236
16/05/24,0.020125065,0.000739869
15/05/24,0.002867894,0.002635711
14/05/24,-0.035210588,-0.013906099
13/05/24,-0.010530757,-0.007473723
10/05/24,-0.00578001,-0.002894673
09/05/24,-0.01266357,0.000329793
08/05/24,0.018587377,-0.002664706
07/05/24,0.001569356,0.001826243
06/05/24,0.017362802,0.001021363
03/05/24,-0.037046391,-0.011870101
02/05/24,-0.034045646,-0.019712933
01/05/24,-0.03288266,-0.014976856
30/04/24,0.039676362,0.003348338
29/04/24,0.015560808,0.02056019
26/04/24,-0.000250724,-0.003458374
25/04/24,-0.059923893,-0.020047812
24/04/24,-0.036416053,0.006448008
23/04/24,0.033883562,-0.001025808
22/04/24,-0.035881113,-0.015752887
19/04/24,-0.042621948,-0.01101747
18/04/24,0.1054116954504806,0.020690744
17/04/24,-0.007539779,0.005233852
16/04/24,0.039433514,0.011530268
15/04/24,-0.016307969,0.001245344
12/04/24,0.025089296,0.018095878
11/04/24,0.027182578,0.016378796
10/04/24,-0.040274504,-0.016671264
09/04/24,-0.01954898,0.00839245
08/04/24,0.020628373,-0.003235815
05/04/24,0.009992032,-0.000334744
04/04/24,-0.024185685,-0.012350301
03/04/24,0.034989759,0.014129802
02/04/24,0.005470375,-0.002276285
01/04/24,0.010132723,0.00958298
28/03/24,-7.75E-05,-0.001059913
27/03/24,-0.001173826,0.001223955
26/03/24,0.025284289,-0.005124232
25/03/24,0.026030057,0.004206101
22/03/24,-0.00753341,0.002703175
21/03/24,-0.030736197,-0.001643586
20/03/24,-0.011693852,-0.001979174
19/03/24,-0.010836174,-0.012455211
18/03/24,-0.010604362,-0.003925603
15/03/24,-0.007016816,-0.008123095
14/03/24,0.001223116,0.009679314
13/03/24,0.032927731,0.003048324
12/03/24,0.011214498,0.00541683
11/03/24,-0.069126547,-0.015262535
08/03/24,0.020242812,0.004101627
07/03/24,0.057075262,0.011636645
06/03/24,-0.043774115,-0.014972612
05/03/24,-0.031331285,-0.00575208
04/03/24,-0.008492992,0.016668763
01/03/24,-0.035319701,0.004151786
29/02/24,-0.039251341,-0.011309219
28/02/24,-0.018485616,-0.009000156
27/02/24,0.013276908,0.005475416
26/02/24,0.00495587,-0.003689298
23/02/24,-0.003483022,0.001286708
22/02/24,-0.003546126,0.002796642
21/02/24,-0.151869887,-0.029142715
20/02/24,0.028923169,0.003198168
16/02/24,0.044508103,0.009225565
15/02/24,0.000619532,0.008239472
14/02/24,0.016949327,-0.002960463
13/02/24,-0.02427051,-0.01291794
12/02/24,0.001662327,0.018162955
09/02/24,-0.001593008,0.003013166
08/02/24,-0.035158163,-0.012393042
07/02/24,0.006555054,-0.002349896
06/02/24,-0.027126777,-0.009414193
05/02/24,0.016124809,-0.000725486
02/02/24,-0.046830509,0.002002778
01/02/24,-0.048512845,-0.017251471
31/01/24,-0.024087103,-0.012948636
30/01/24,0.020064872,0.022553673
29/01/24,-0.004934575,0.007588207
26/01/24,-0.023224468,-0.011110868
25/01/24,0.009555875,0.003561345
24/01/24,-0.004147055,-0.001844322
23/01/24,-0.024565099,-0.003622384
22/01/24,-0.003664448,-0.0042649
19/01/24,-0.002736164,-0.003216043
18/01/24,-0.04089834,-0.016816229
17/01/24,-0.018629029,-0.013375091
16/01/24,0.005852287,0.005955057
12/01/24,-0.030103451,0.001899248
11/01/24,0.002045065,-0.000172328
10/01/24,-0.00864696,-3.54E-05
09/01/24,-0.022514673,-0.007505896
08/01/24,-0.016832635,-0.000938674
05/01/24,-0.062299,
04/01/24,-0.022639,
